DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P10000;P400;P401;P402;P403;P404;P406S2;P407S2;P408;P4900;P807;P809;P809S1;P420;P171;P6850;P5971;P5971S1;P5971S1A1;P5971S2;P5971S2A1;P5971S3;P5971S3A1;P5971S4;P5971S4A1;P5971S5;P5971S5A1;P5971S6;P5971S6A1;P5971S7;P5971S7A1;P5971S8;P5971S8A1;P5971S9;P5971S9A1;P5971S10;P5971S10A1
7247433;7;1;7;158,847485786445;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247440;2;1;2;86,2897580388348;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247442;3;1;3;124,665438336601;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247442;4;1;4;124,665438336601;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247443;2;1;2;77,1198846528586;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247451;4;1;4;44,1526188752048;3;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247452;3;1;3;73,0866319680694;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247461;4;1;4;62,6988615296026;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247463;3;1;3;70,0282220238339;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247463;4;1;4;70,0282220238339;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247464;3;1;3;64,3674467424417;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; 
7247464;4;1;4;64,3674467424417;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247464;5;1;5;64,3674467424417;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247466;2;1;2;56,0045288812658;1;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247470;3;1;3;150,528089772142;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247470;4;1;4;150,528089772142;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247476;4;1;4;99,7010622525658;4;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
7247484;3;1;3;181,835242289601;2;3;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; 
