P6020,P6040,P6081,P6083,P6080,P1895,P1896,P1897,P1898,P1899,P3175,prom_satisfaccion,num_ninxs,num_adultxs,num_abuelxs,P171,trabaja,dinero,P6160,P8586,P1930,afiliado,P51,P771,P772,P773,actividad
2,2,1,1,6,9,10,9,9,7,10,9.0,2,1,2,0.0,0.0,0.0,0.0,2.0,2,3,2.0,1.0,4.0,0.0,1.0
1,6,1,2,6,8,10,10,10,7,8,8.83,1,1,2,0.0,0.0,0.0,1.0,1.0,2,3,8.0,9.0,0.0,0.0,5.0
1,7,2,1,6,8,10,6,8,7,5,7.33,1,1,1,0.0,0.0,0.0,1.0,1.0,2,1,8.0,9.0,0.0,0.0,5.0
2,10,2,1,6,5,3,7,4,5,7,5.17,2,1,5,0.0,0.0,0.0,1.0,1.0,2,3,8.0,9.0,0.0,0.0,5.0
2,0,2,1,6,5,3,7,4,5,7,5.17,2,1,5,0.0,0.0,0.0,0.0,2.0,2,3,2.0,2.0,6.0,0.0,1.0
2,6,2,1,6,7,10,8,6,1,8,6.67,1,1,4,0.0,0.0,0.0,1.0,1.0,2,3,8.0,9.0,0.0,0.0,5.0
2,1,2,1,6,9,5,9,5,4,8,6.67,2,1,4,0.0,0.0,0.0,0.0,2.0,2,3,2.0,1.0,6.0,0.0,2.0
1,1,2,1,6,9,5,9,5,4,8,6.67,2,1,4,0.0,0.0,0.0,0.0,2.0,2,3,2.0,2.0,6.0,0.0,1.0
1,2,2,1,6,8,7,8,6,7,9,7.5,2,1,2,0.0,0.0,0.0,0.0,2.0,2,3,1.0,9.0,0.0,1.0,1.0
1,7,2,2,6,8,7,8,6,7,9,7.5,2,1,2,0.0,0.0,0.0,1.0,1.0,2,3,8.0,9.0,0.0,0.0,5.0
1,6,2,1,6,8,6,8,8,7,8,7.5,2,1,1,0.0,0.0,0.0,1.0,1.0,2,3,8.0,9.0,0.0,0.0,5.0
2,11,2,2,6,8,6,8,8,7,8,7.5,2,1,1,0.0,0.0,0.0,1.0,1.0,2,3,8.0,9.0,0.0,0.0,5.0
2,10,2,2,6,7,8,7,7,7,6,7.0,2,1,2,0.0,0.0,0.0,1.0,1.0,2,3,8.0,9.0,0.0,0.0,5.0
