P6020,P6040,P5502,P6071,P6080,P1895,P1896,P1897,P1898,P1899,P3175,prom_satisfaccion,num_ninxs,num_adultxs,num_abuelxs,P6160,P8586,P8587,P6090,P6100,P8551,P799S2,P799S3,P799S1,P799S4,P799S5,P3176,P1930,P3008S1,P3008S2,P1707,P3003,P5452,P6161S1,P6426,P3193,dinero_trabajo,dinero_extra
1,71,5,-1,6,8,6,8,10,8,8,8.0,2,2,1,1,2,11,1,2,200000,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,2500000
2,74,4,-1,6,9,9,9,9,9,9,9.0,2,2,1,1,2,5,1,1,109800,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
1,62,6,1,6,4,0,7,5,3,1,3.33,1,1,1,1,2,4,1,1,0,2,2,2,2,2,0,1,1,2,2,2,2,0,0,2,160000,0
2,60,3,-1,6,7,4,6,9,6,7,6.5,1,1,1,1,2,5,2,9,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
1,64,2,1,1,6,3,8,10,0,4,5.17,1,1,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,4,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,150000,0
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,4,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,450000,300000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,4,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,150000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,4,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,150000,0
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,4,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,450000,300000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,4,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,150000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,4,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,150000,0
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,4,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,450000,300000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,4,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,150000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,150000,0
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,450000,300000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,150000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,150000,0
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,450000,300000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,150000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,150000,0
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,450000,300000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,150000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,150000,0
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,450000,300000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,150000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,150000,0
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,450000,300000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,150000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,150000,0
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,450000,300000
1,80,2,1,6,7,5,7,8,8,9,7.33,1,2,4,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,150000
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,500000,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,120000
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,500000,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,120000
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,500000,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,120000
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,500000,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,120000
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,500000,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,120000
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,500000,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,120000
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,1,0,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,500000,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,1,0,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,120000
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,1,0,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,1,0,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,500000,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,1,0,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,120000
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,1,0,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,1,0,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,500000,0
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,1,0,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,120000
2,73,2,1,6,7,10,7,6,8,7,7.5,1,2,4,1,1,0,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,0
2,68,4,-1,6,10,10,10,8,7,7,8.67,1,1,1,1,2,11,1,1,240000,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
1,62,6,1,6,2,2,2,2,3,4,2.5,2,1,1,1,2,7,1,1,105000,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,1000000,0
1,60,2,1,6,9,2,10,5,10,3,6.5,1,1,2,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,98,0
1,68,6,1,6,6,10,7,8,4,4,6.5,1,1,1,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
1,79,6,1,6,6,6,7,7,5,5,6.0,2,2,2,1,2,3,1,1,120000,2,2,2,2,2,0,1,2,2,2,1,2,0,0,2,0,0
2,74,6,1,6,6,6,6,6,5,5,5.67,2,2,2,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,0
2,74,3,-1,6,6,7,6,7,6,6,6.33,2,1,3,2,2,1,1,1,90000,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,0
2,66,3,-1,5,7,7,6,6,6,6,6.33,1,1,1,1,2,4,1,3,0,2,2,2,2,2,0,1,1,2,2,2,2,0,0,2,400000,960000
2,67,2,1,5,7,3,5,6,6,7,5.67,1,2,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
1,68,2,1,5,7,5,7,6,7,6,6.33,1,2,2,1,2,4,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,200000,0
1,64,2,1,5,7,8,5,7,7,8,7.0,4,1,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,400000,0
1,76,2,2,5,8,7,6,8,6,7,7.0,2,1,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,4,2,0,0
2,72,4,-1,5,7,4,3,8,5,5,5.33,1,1,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,400000
2,66,3,-1,6,10,10,8,10,10,10,9.67,1,1,3,1,2,5,1,1,90000,2,1,1,2,2,300000,2,2,2,2,2,2,0,0,2,0,0
1,75,2,1,6,10,10,2,7,1,9,6.5,1,1,4,1,2,4,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,1,20000,0
1,72,6,1,6,5,5,3,10,10,10,7.17,1,2,6,1,2,3,1,1,220000,2,2,2,2,2,0,2,2,2,2,1,2,0,0,2,0,877803
1,72,6,1,6,5,5,3,10,10,10,7.17,1,2,6,1,2,3,1,1,220000,2,2,2,2,2,0,2,2,2,2,1,2,0,0,2,0,0
1,72,6,1,6,5,5,3,10,10,10,7.17,1,2,6,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,877803
1,72,6,1,6,5,5,3,10,10,10,7.17,1,2,6,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
1,72,6,1,6,5,5,3,10,10,10,7.17,1,2,6,1,2,5,1,1,220000,2,2,2,2,2,0,2,2,2,2,1,2,0,0,2,0,877803
1,72,6,1,6,5,5,3,10,10,10,7.17,1,2,6,1,2,5,1,1,220000,2,2,2,2,2,0,2,2,2,2,1,2,0,0,2,0,0
1,72,6,1,6,5,5,3,10,10,10,7.17,1,2,6,1,2,5,1,1,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,877803
1,72,6,1,6,5,5,3,10,10,10,7.17,1,2,6,1,2,5,1,1,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,68,6,1,6,10,10,3,9,10,10,8.67,1,2,6,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,2,1,2,0,0,2,0,0
2,68,6,1,6,10,10,3,9,10,10,8.67,1,2,6,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,2,1,2,0,60,2,0,0
2,68,6,1,6,10,10,3,9,10,10,8.67,1,2,6,1,2,3,1,1,30000,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,68,6,1,6,10,10,3,9,10,10,8.67,1,2,6,1,2,3,1,1,30000,2,2,2,2,2,0,2,2,2,1,1,2,0,60,2,0,0
2,68,6,1,6,10,10,3,9,10,10,8.67,1,2,6,1,2,5,1,1,0,2,2,2,2,2,0,1,2,2,2,1,2,0,0,2,0,0
2,68,6,1,6,10,10,3,9,10,10,8.67,1,2,6,1,2,5,1,1,0,2,2,2,2,2,0,1,2,2,2,1,2,0,60,2,0,0
2,68,6,1,6,10,10,3,9,10,10,8.67,1,2,6,1,2,5,1,1,30000,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,68,6,1,6,10,10,3,9,10,10,8.67,1,2,6,1,2,5,1,1,30000,2,2,2,2,2,0,2,2,2,1,1,2,0,60,2,0,0
1,81,6,1,6,10,10,10,10,10,10,10.0,1,2,1,1,2,4,1,1,0,2,2,2,2,2,0,1,2,2,2,1,2,0,0,2,0,2000000
2,74,6,1,6,8,10,0,6,9,9,7.0,1,2,1,1,2,5,1,1,0,2,2,2,2,2,0,1,2,2,2,1,2,0,0,2,0,0
2,66,5,-1,6,7,10,10,5,5,8,7.5,1,1,1,2,2,1,1,3,0,2,2,2,2,2,0,1,1,2,2,2,2,0,0,2,0,0
1,64,6,1,6,9,7,5,10,8,8,7.83,1,2,1,1,2,4,1,1,70000,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,440000
2,63,6,1,6,7,8,8,8,8,7,7.67,1,2,1,1,2,5,1,1,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,74,3,-1,5,8,8,5,9,5,5,6.67,1,1,4,2,2,1,1,1,70224,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,877803
2,73,5,-1,4,10,0,7,10,10,10,7.83,1,1,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
1,80,6,1,6,7,9,9,9,9,9,8.67,1,2,2,1,2,5,1,1,99000,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,6000000
2,76,6,1,6,9,10,7,9,7,9,8.5,1,2,2,1,2,5,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,69,5,-1,6,5,5,4,4,5,5,4.67,1,1,3,1,2,5,1,1,114000,2,2,2,2,2,0,2,2,2,2,1,2,0,0,2,0,400000
1,60,6,1,6,6,4,5,5,7,2,4.83,1,1,2,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,72,2,0,0
1,72,6,1,6,6,3,4,7,8,7,5.83,1,3,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,100000,0
2,72,6,1,6,6,10,6,7,8,8,7.5,1,3,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,90,3,-1,6,3,10,2,3,2,3,3.83,1,3,1,2,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
1,89,3,-1,6,4,10,4,5,7,7,6.17,1,1,2,2,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
1,64,6,1,6,8,2,9,7,2,8,6.0,1,2,5,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,65,6,1,6,7,10,7,7,5,8,7.33,1,2,5,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,30000,0
1,80,3,-1,6,8,10,5,8,5,5,6.83,1,1,2,2,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,1,2,0,0,2,0,1440000
1,78,2,1,6,4,3,6,8,1,2,4.0,2,2,3,1,2,3,1,1,105000,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,72,2,1,6,4,5,6,6,2,3,4.33,2,2,3,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,83,3,-1,6,5,5,3,5,2,5,4.17,1,1,2,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
1,60,2,1,6,7,6,7,4,5,7,6.0,2,1,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,700000,0
1,64,6,1,6,4,5,5,6,5,4,4.83,1,1,3,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,800000
1,91,6,1,6,8,5,4,9,0,7,5.5,1,2,2,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,300000
1,91,6,1,6,8,5,4,9,0,7,5.5,1,2,2,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,70000,0
1,91,6,1,6,8,5,4,9,0,7,5.5,1,2,2,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,300000
1,91,6,1,6,8,5,4,9,0,7,5.5,1,2,2,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,70000,0
1,91,6,1,6,8,5,4,9,0,7,5.5,1,2,2,1,2,4,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,300000
1,91,6,1,6,8,5,4,9,0,7,5.5,1,2,2,1,2,4,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,70000,0
1,91,6,1,6,8,5,4,9,0,7,5.5,1,2,2,1,2,4,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,300000
1,91,6,1,6,8,5,4,9,0,7,5.5,1,2,2,1,2,4,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,70000,0
2,86,6,1,6,9,1,3,5,6,8,5.33,1,2,2,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,86,6,1,6,9,1,3,5,6,8,5.33,1,2,2,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,86,6,1,6,9,1,3,5,6,8,5.33,1,2,2,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,86,6,1,6,9,1,3,5,6,8,5.33,1,2,2,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,86,6,1,6,9,1,3,5,6,8,5.33,1,2,2,1,1,0,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,86,6,1,6,9,1,3,5,6,8,5.33,1,2,2,1,1,0,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,86,6,1,6,9,1,3,5,6,8,5.33,1,2,2,1,1,0,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,86,6,1,6,9,1,3,5,6,8,5.33,1,2,2,1,1,0,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
1,75,2,1,6,8,9,8,8,6,7,7.67,1,1,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,150000,0
1,61,3,-1,1,8,8,5,7,4,5,6.17,3,1,2,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
1,80,6,1,6,8,8,6,7,7,8,7.33,2,2,1,1,2,1,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,76,6,1,6,9,8,9,7,8,7,8.0,2,2,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,200000
1,64,2,1,1,8,5,4,6,4,4,5.17,1,1,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,350000,0
2,70,5,-1,6,9,10,10,10,10,10,9.83,1,1,2,1,2,7,1,1,100000,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
2,63,3,-1,1,6,2,7,5,5,6,5.17,3,1,3,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
1,70,6,1,1,6,6,7,6,7,7,6.5,1,2,1,1,2,3,1,3,0,2,2,2,2,2,0,2,1,2,1,1,2,0,0,2,0,0
2,70,6,1,1,7,3,6,6,7,5,5.67,1,2,1,2,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,0
1,68,6,1,1,4,3,4,5,5,4,4.17,1,1,3,2,2,1,1,3,0,2,2,2,2,2,0,2,1,2,1,1,2,0,0,2,350000,0
1,62,5,-1,6,5,6,6,6,4,5,5.33,2,1,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,5,2,0,0
1,63,6,1,6,7,6,6,6,6,5,6.0,2,1,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,600000,0
2,92,3,-1,6,8,10,5,7,3,6,6.5,2,1,3,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,0
2,70,3,-1,6,10,10,4,7,5,5,6.83,1,1,2,1,2,10,2,9,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
2,60,4,-1,6,9,7,8,9,8,7,8.0,1,1,3,1,2,4,2,9,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
1,82,3,-1,6,7,7,7,7,8,7,7.17,1,1,3,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
1,85,5,-1,6,7,3,5,8,3,5,5.17,2,1,2,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,72,3,-1,6,9,5,6,9,8,8,7.5,2,1,2,1,2,1,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,150000
2,68,4,-1,6,10,3,9,9,8,8,7.83,1,1,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,100000
1,66,2,1,6,7,5,4,6,6,7,5.83,1,1,1,1,2,1,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,64,3,-1,6,8,7,7,8,7,3,6.67,1,1,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,420000,0
1,61,2,1,6,7,7,7,5,8,6,6.67,1,1,2,1,2,4,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,350000,0
1,67,6,1,6,10,10,10,10,10,10,10.0,1,2,1,1,2,1,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,400000,0
2,90,3,-1,6,8,10,2,10,10,10,8.33,1,2,1,1,2,1,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
1,74,6,1,5,8,10,7,8,7,6,7.67,2,2,1,2,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
2,60,6,1,5,8,6,8,7,8,6,7.17,2,2,1,2,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,700000,300000
2,78,4,-1,5,5,4,8,5,5,6,5.5,1,1,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,20000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,400000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,20000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,400000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,3,2,9,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,3,2,9,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,20000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,3,2,9,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,400000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,0,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,20000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,400000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,20000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,5,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,400000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,5,2,9,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,5,2,9,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,20000,0
1,64,6,2,6,7,7,8,7,7,7,7.17,3,2,8,1,2,5,2,9,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,400000,0
