P6020,P6040,P5502,P6071,P6080,P1895,P1896,P1897,P1898,P1899,P3175,prom_satisfaccion,num_ninxs,num_adultxs,num_abuelxs,P6160,P8586,P8587,P6090,P6100,P8551,P799S2,P799S3,P799S1,P799S4,P799S5,P3176,P1930,P3008S1,P3008S2,P1707,P3003,P5452,P6161S1,P6426,P3193,dinero_trabajo,dinero_extra
1,84,2,1,6,8,6,7,9,7,8,7.5,1,2,1,1,2,4,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,400000,0
2,75,2,1,6,7,7,7,8,7,7,7.17,1,2,1,1,2,3,1,1,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,0
1,80,4,-1,6,8,8,3,10,10,10,8.17,3,1,4,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,1,1,2,0,0,2,0,0
1,69,2,1,6,7,6,7,10,10,8,8.0,1,1,4,1,2,3,1,3,0,2,2,2,2,2,0,2,1,2,1,1,2,0,0,2,500000,0
2,60,3,-1,6,10,0,9,9,0,5,5.5,1,1,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,150000,0
1,60,2,1,6,9,5,6,9,9,9,7.83,2,1,2,1,2,3,1,1,0,2,2,2,2,2,0,2,1,2,2,2,2,0,0,2,838000,0
1,60,2,1,6,9,5,6,9,9,9,7.83,2,1,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,838000,0
1,60,2,1,6,9,5,6,9,9,9,7.83,2,1,2,1,1,0,1,1,0,2,2,2,2,2,0,2,1,2,2,2,2,0,0,2,838000,0
1,60,2,1,6,9,5,6,9,9,9,7.83,2,1,2,1,1,0,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,838000,0
1,60,2,1,6,8,4,9,8,6,2,6.17,1,1,2,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,250000,0
1,60,2,1,6,9,6,8,6,6,7,7.0,1,3,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,2,2,0,0
2,87,3,-1,6,8,7,7,7,7,7,7.17,1,3,1,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
1,65,4,-1,6,8,8,8,8,8,8,8.0,1,3,1,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,2,2,0,0,2,500000,0
2,80,3,-1,6,8,8,7,8,8,8,7.83,2,1,3,1,2,5,1,1,99000,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,98
2,80,3,-1,6,8,8,7,8,8,8,7.83,2,1,3,1,2,5,1,1,99000,2,2,2,2,2,0,2,2,2,2,2,2,0,36,2,0,0
2,80,3,-1,6,8,8,7,8,8,8,7.83,2,1,3,1,2,5,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,98
2,80,3,-1,6,8,8,7,8,8,8,7.83,2,1,3,1,2,5,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,36,2,0,0
2,80,3,-1,6,8,8,7,8,8,8,7.83,2,1,3,1,2,3,1,1,99000,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,98
2,80,3,-1,6,8,8,7,8,8,8,7.83,2,1,3,1,2,3,1,1,99000,2,2,2,2,2,0,2,2,2,2,2,2,0,36,2,0,0
2,80,3,-1,6,8,8,7,8,8,8,7.83,2,1,3,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,98
2,80,3,-1,6,8,8,7,8,8,8,7.83,2,1,3,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,36,2,0,0
1,63,6,1,6,10,6,10,8,10,3,7.83,1,2,2,1,2,11,1,1,400000,2,2,2,2,2,0,2,2,2,1,2,2,0,8,1,0,0
2,62,6,1,6,8,3,8,6,10,6,6.83,1,2,2,1,2,7,1,1,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,500000,0
2,97,3,-1,6,8,5,4,5,3,9,5.67,2,1,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,61,3,-1,6,9,5,6,4,6,3,5.5,1,1,4,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,400000,0
1,76,6,1,6,9,4,7,5,7,8,6.67,2,2,1,1,2,4,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,200000,0
2,67,6,1,6,8,10,8,8,7,8,8.17,2,2,1,1,2,3,1,1,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
2,65,4,-1,6,4,4,4,7,3,8,5.0,2,1,2,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,1,2,2,0,0,2,0,0
2,60,5,-1,6,6,7,5,5,2,4,4.83,2,1,3,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,50000
2,83,3,-1,6,5,5,5,5,5,5,5.0,1,1,3,2,2,1,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,0
2,75,3,-1,6,6,10,5,6,4,7,6.33,1,1,2,1,2,3,1,3,0,2,2,2,2,2,0,2,2,2,1,1,2,0,0,2,0,0
2,74,4,-1,6,5,5,5,6,6,4,5.17,1,1,1,2,2,3,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,0
1,69,6,1,6,7,0,5,6,0,2,3.33,1,2,1,2,2,1,1,3,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,200000
2,72,6,1,5,7,10,5,7,1,5,5.83,1,2,1,2,2,1,2,9,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,2,0,600000
2,61,4,-1,6,7,6,7,5,5,6,6.0,1,1,4,1,2,3,1,3,0,2,2,2,2,2,0,1,2,2,2,2,2,0,0,2,0,200000
